Legend,Shape,FID,IID,Race,Label,Altitude,Latitude,Longitude,SOL,C1,C2,IID
Bolivia,Landrace,BOV438_2,BOV438,Coroico amarillo,NA,130,-14,64,0,0.151761,-0.0291347,BOV438_2
Bolivia,Landrace,BOV438_3,BOV438,Coroico amarillo,NA,130,-14,64,0,0.0996741,-0.0599473,BOV438_3
Bolivia,Landrace,BOV438_4,BOV438,Coroico amarillo,NA,130,-14,64,0,0.0541937,-0.0406954,BOV438_4
Bolivia,Landrace,BOV438_5,BOV438,Coroico amarillo,NA,130,-14,64,0,0.054579,-0.0313069,BOV438_5
Bolivia,Landrace,BOV461_1,BOV461,Argentino,NA,1120,-21,64,0,0.0770606,0.0611345,BOV461_1
Bolivia,Landrace,BOV461_2,BOV461,Argentino,NA,1120,-21,64,0,-0.0446317,0.0246454,BOV461_2
Bolivia,Landrace,BOV461_4,BOV461,Argentino,NA,1120,-21,64,0,-0.0364953,0.076644,BOV461_4
Bolivia,Landrace,BOV461_5,BOV461,Argentino,NA,1120,-21,64,0,0.0578032,0.0724676,BOV461_5
Bolivia,Landrace,BOV585_1,BOV585,Cubano dentado,NA,330,-16,60,0,0.0274134,0.0997137,BOV585_1
Bolivia,Landrace,BOV585_2,BOV585,Cubano dentado,NA,330,-16,60,0,0.0309727,0.0412527,BOV585_2
Bolivia,Landrace,BOV585_3,BOV585,Cubano dentado,NA,330,-16,60,0,0.0156275,0.0974959,BOV585_3
Bolivia,Landrace,BOV585_4,BOV585,Cubano dentado,NA,330,-16,60,0,0.0405691,0.110873,BOV585_4
Bolivia,Landrace,BOV585_5,BOV585,Cubano dentado,NA,330,-16,60,0,-0.0122764,0.061132,BOV585_5
Bolivia,Landrace,BOV623_1,BOV623,Huilcaparu moteado,NA,2001,,,0,-0.122365,-0.0399569,BOV623_1
Bolivia,Landrace,BOV623_2,BOV623,Huilcaparu moteado,NA,2002,,,0,-0.113883,-0.0699804,BOV623_2
Bolivia,Landrace,BOV623_3,BOV623,Huilcaparu moteado,NA,2003,,,0,-0.049323,-0.00714674,BOV623_3
Bolivia,Landrace,BOV623_4,BOV623,Huilcaparu moteado,NA,2004,,,0,-0.105176,0.00690941,BOV623_4
Bolivia,Landrace,BOV623_5,BOV623,Huilcaparu moteado,NA,2005,,,0,-0.0899408,-0.0137792,BOV623_5
Bolivia,Landrace,BOV705_1,BOV705,Cholito,NA,500,-22,63,0,0.0907264,-0.0397987,BOV705_1
Bolivia,Landrace,BOV705_2,BOV705,Cholito,NA,500,-22,63,0,-0.0346691,0.0128005,BOV705_2
Bolivia,Landrace,BOV705_3,BOV705,Cholito,NA,500,-22,63,0,0.0412506,0.0131063,BOV705_3
Bolivia,Landrace,BOV705_5,BOV705,Cholito,NA,500,-22,63,0,-0.00300187,-0.0309999,BOV705_5
Bolivia,Landrace,BOV725_1,BOV725,Cuzco,NA,3780,-16,68,0,-0.0642108,-0.0282787,BOV725_1
Bolivia,Landrace,BOV725_2,BOV725,Cuzco,NA,3780,-16,68,0,0.048446,-0.00935174,BOV725_2
Bolivia,Landrace,BOV725_3,BOV725,Cuzco,NA,3780,-16,68,0,-0.0581111,-0.0338489,BOV725_3
Bolivia,Landrace,BOV725_4,BOV725,Cuzco,NA,3780,-16,68,0,0.0388697,-0.000724288,BOV725_4
Bolivia,Landrace,BOV725_5,BOV725,Cuzco,NA,3780,-16,68,0,0.0370793,-0.027211,BOV725_5
Bolivia,Landrace,BOV730_1,BOV730,Altiplano,NA,1400,-16,68,0,-0.0355317,-0.010976,BOV730_1
Bolivia,Landrace,BOV730_2,BOV730,Altiplano,NA,1400,-16,68,0,-0.116837,-0.0371936,BOV730_2
Bolivia,Landrace,BOV730_3,BOV730,Altiplano,NA,1400,-16,68,0,-0.0480393,-0.0530671,BOV730_3
Bolivia,Landrace,BOV730_4,BOV730,Altiplano,NA,1400,-16,68,0,0.0186456,-0.0293136,BOV730_4
Bolivia,Landrace,BOV730_5,BOV730,Altiplano,NA,1400,-16,68,0,-0.114883,-0.00314079,BOV730_5
Bolivia,Landrace,BOV968_1,BOV968,Aysuma,NA,1948,-21,64,0,-0.00685749,-0.0980456,BOV968_1
Bolivia,Landrace,BOV968_2,BOV968,Aysuma,NA,1948,-21,64,0,-0.0637466,-0.00255487,BOV968_2
Bolivia,Landrace,BOV968_3,BOV968,Aysuma,NA,1948,-21,64,0,-0.0347598,-0.017191,BOV968_3
Bolivia,Landrace,BOV968_4,BOV968,Aysuma,NA,1948,-21,64,0,-0.118738,-0.063713,BOV968_4
Bolivia,Landrace,BOV968_5,BOV968,Aysuma,NA,1948,-21,64,0,-0.020254,-0.0598243,BOV968_5
